127.0.0.1 - - [10/Jan/2020:09:26:09 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:26:10 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:26:10 +0900] "GET /clientweb/images/m_garden07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:33:14 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 1631
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:33:14 +0900] "GET /clientweb/images/m_garden07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:38:27 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 1881
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:38:27 +0900] "GET /clientweb/images/m_garden07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:42:22 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 2061
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:42:22 +0900] "GET /clientweb/images/m_garden07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:42:29 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:42:29 +0900] "GET /clientweb/images/m_garden07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:42:29 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:42:29 +0900] "GET /clientweb/images/m_garden07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:42:57 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 2061
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:42:57 +0900] "GET /clientweb/images/m_garden07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:42:57 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:43:32 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 2067
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:43:32 +0900] "GET /clientweb/images/m_garden07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:43:53 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 2067
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:43:53 +0900] "GET /clientweb/images/m_garden07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:44:25 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 2060
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:44:25 +0900] "GET /clientweb/images/m_garden07.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:44:50 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 200 2060
0:0:0:0:0:0:0:1 - - [10/Jan/2020:09:44:50 +0900] "GET /clientweb/js_dom/js_basic_dom.html HTTP/1.1" 304 -
